Original 151 Pokemon
name,type1,type2,hp,atk,def,sp_atk,sp_def,speed,stat_total,moves
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,
4,Charmander,Fire,,39,52,43,60,50,65,309,
5,Charmeleon,Fire,,58,64,58,80,65,80,405,
6,Charizard,Fire,,78,84,78,109,85,100,534,
7,Squirtle,Water,,44,,48,65,50,64,43,314,
8,Wartortle,Water,,59,63,80,65,80,58,405,
9,Blastoise,Water,,79,83,100,85,105,78,530,
10,Caterpie,Bug,,45,30,35,20,20,45,195,
11,Metapod,Bug,,50,20,55,25,25,30,205,
12,Butterfree,Bug,Flying,60,45,50,80,80,70,385,
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,
15,Beedrill,Bug,Poison,65,80,40,45,80,75,385,
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,
18,Pidgeot,Normal,Flying,83,80,75,70,70,91,469,
19,Rattata,Normal,,30,56,35,25,35,72,253,
20,Raticate,Normal,,55,81,60,50,70,97,413,
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,
23,Ekans,Poison,,35,60,44,40,54,55,288,
24,Arbok,Poison,,60,85,69,65,79,80,438,
25,Pikachu,Electric,,35,55,30,50,40,90,300,
26,Raichu,Electric,,60,90,55,90,80,100,475,
27,Sandshrew,Ground,,50,75,85,20,30,40,300,
28,Sandslash,Ground,,75,100,110,45,55,65,450,
29,Nidoran (female),Poison,,55,47,52,40,40,41,275,
30,Nidorina,Poison,,70,62,67,55,55,56,365,
31,Nidoqueen,Poison,Ground,90,82,87,75,85,76,495,
32,Nidoran (male),Poison,,46,57,40,40,40,50,273,
33,Nidorino,Poison,,40,57,40,40,40,50,273,
34,Nidoking,Poison,Ground,81,92,77,85,75,85,495,
35,Clefairy,Fairy,,70,45,48,60,65,35,323,
36,Clefable,Fairy,,95,70,73,85,90,60,473,
37,Vulpix,Fire,,38,41,40,50,65,65,299,
38,Ninetales,Fire,,73,76,75,81,100,100,505,
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,
40,Wigglytuff,Normal,Fairy,140,70,45,75,50,45,425,
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,
